DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO                        CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       h2o_reported              b_h2o_pct                 peak_14                   peak84_raw                
2021-09-10                12:14:52.216              252.63532657              6063.247838               253.63532657              1631276092.216            0                         963                       1.4000100708E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          3.0000000000E+00          6.0000000000E+00          3.6477597656E+04          0.0000000000E+00          1.6950525787E-01          4.4993270521E+02          4.4992815932E+02          2.1049250052E+00          2.1049076017E+00          -7.2734204567E-04         -9.4217532318E-04         1.3104150977E-02          6.3813319717E+02          3.9894911296E-01          
2021-09-10                12:14:52.450              252.63532929              6063.247903               253.63532929              1631276092.451            0                         963                       1.3999898017E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          1.0000000000E+00          6.0000000000E+00          3.6477087512E+04          0.0000000000E+00          1.6950527218E-01          4.4993158315E+02          4.4992815932E+02          2.1049250052E+00          2.1049076017E+00          -7.2734204567E-04         -9.4217532318E-04         1.3104150977E-02          6.3818128100E+02          3.9894911296E-01          
2021-09-10                12:14:52.867              252.63533411              6063.248019               253.63533411              1631276092.867            0                         963                       1.3999868027E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          2.0000000000E+00          6.0000000000E+00          3.6477012156E+04          0.0000000000E+00          1.6950527218E-01          4.4993158315E+02          4.4992703728E+02          2.1052171671E+00          2.1049076017E+00          -7.2734204567E-04         -9.4217532318E-04         1.3104150977E-02          6.3818128100E+02          3.9894911296E-01          
2021-09-10                12:14:53.767              252.63534454              6063.248269               253.63534454              1631276093.768            0                         963                       1.3999868027E+02          4.5000297546E+01          3.7042544346E+01          4.4767906189E+01          4.5000419617E+01          4.0000000000E+00          6.0000000000E+00          3.6477012156E+04          0.0000000000E+00          1.5522679231E-01          4.4993158315E+02          4.4992703728E+02          2.1052171671E+00          2.1049076017E+00          -7.2734204567E-04         -9.4217532318E-04         7.0914526843E-03          6.3818128100E+02          3.6539084795E-01          
2021-09-10                12:14:54.471              252.63535269              6063.248464               253.63535269              1631276094.472            0                         963                       1.4000057983E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          3.0000000000E+00          6.0000000000E+00          3.6477488281E+04          0.0000000000E+00          1.5522679231E-01          4.4993158315E+02          4.4992699015E+02          2.1052171671E+00          2.1051995807E+00          -5.8612752806E-04         -7.5924710482E-04         7.0914526843E-03          6.3818128100E+02          3.6539084795E-01          
2021-09-10                12:14:54.711              252.63535546              6063.248531               253.63535546              1631276094.712            0                         963                       1.4000057983E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          1.0000000000E+00          6.0000000000E+00          3.6477488281E+04          0.0000000000E+00          1.5522677358E-01          4.4990795988E+02          4.4992699015E+02          2.1052171671E+00          2.1051995807E+00          -5.8612752806E-04         -7.5924710482E-04         7.0914526843E-03          6.3811596006E+02          3.6539084795E-01          
2021-09-10                12:14:55.131              252.63536032              6063.248648               253.63536032              1631276095.132            0                         963                       1.4000111336E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          2.0000000000E+00          6.0000000000E+00          3.6477692608E+04          0.0000000000E+00          1.5522677358E-01          4.4990795988E+02          4.4990336711E+02          2.1049120288E+00          2.1051995807E+00          -5.8612752806E-04         -7.5924710482E-04         7.0914526843E-03          6.3811596006E+02          3.6539084795E-01          
2021-09-10                12:14:56.025              252.63537066              6063.248896               253.63537066              1631276096.025            0                         963                       1.4000111336E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          4.0000000000E+00          6.0000000000E+00          3.6477692608E+04          0.0000000000E+00          1.6418126785E-01          4.4990795988E+02          4.4990336711E+02          2.1049120288E+00          2.1051995807E+00          -5.8612752806E-04         -7.5924710482E-04         1.0773269087E-02          6.3811596006E+02          3.8643468075E-01          
2021-09-10                12:14:56.756              252.63537912              6063.249099               253.63537912              1631276096.756            0                         963                       1.4000003052E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          3.0000000000E+00          6.0000000000E+00          3.6479273438E+04          0.0000000000E+00          1.6418126785E-01          4.4990795988E+02          4.4990399241E+02          2.1049120288E+00          2.1048968389E+00          -5.4851584299E-04         -7.1052549736E-04         1.0773269087E-02          6.3811596006E+02          3.8643468075E-01          
2021-09-10                12:14:56.992              252.63538185              6063.249164               253.63538185              1631276096.992            0                         963                       1.4000003052E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          1.0000000000E+00          6.0000000000E+00          3.6479273438E+04          0.0000000000E+00          1.6418126483E-01          4.4992555214E+02          4.4990399241E+02          2.1049120288E+00          2.1048968389E+00          -5.4851584299E-04         -7.1052549736E-04         1.0773269087E-02          6.3810566279E+02          3.8643468075E-01          
2021-09-10                12:14:57.401              252.63538660              6063.249278               253.63538660              1631276097.402            0                         963                       1.4000149451E+02          4.5000297546E+01          3.7000000000E+01          4.4767967224E+01          4.5000358582E+01          2.0000000000E+00          6.0000000000E+00          3.6479856261E+04          0.0000000000E+00          1.6418126483E-01          4.4992555214E+02          4.4992158451E+02          2.1048389603E+00          2.1048968389E+00          -5.4851584299E-04         -7.1052549736E-04         1.0773269087E-02          6.3810566279E+02          3.8643468075E-01          
2021-09-10                12:14:58.290              252.63539689              6063.249525               253.63539689              1631276098.291            0                         963                       1.4000149451E+02          4.5000297546E+01          3.7010532151E+01          4.4767967224E+01          4.5000358582E+01          4.0000000000E+00          6.0000000000E+00          3.6479856261E+04          0.0000000000E+00          1.6239158883E-01          4.4992555214E+02          4.4992158451E+02          2.1048389603E+00          2.1048968389E+00          -5.4851584299E-04         -7.1052549736E-04         9.0548303666E-03          6.3810566279E+02          3.8220364919E-01          
2021-09-10                12:14:59.022              252.63540535              6063.249728               253.63540535              1631276099.022            0                         963                       1.4000411987E+02          4.5000297546E+01          3.7062500000E+01          4.4767967224E+01          4.5000358582E+01          3.0000000000E+00          6.0000000000E+00          3.6482191406E+04          0.0000000000E+00          1.6239158883E-01          4.4992555214E+02          4.4992277910E+02          2.1048389603E+00          2.1048283442E+00          -2.4450270076E-04         -3.1671587576E-04         9.0548303666E-03          6.3810566279E+02          3.8220364919E-01          
2021-09-10                12:14:59.253              252.63540802              6063.249793               253.63540802              1631276099.253            0                         963                       1.4000335466E+02          4.5000297546E+01          3.7062500000E+01          4.4767967224E+01          4.5000358582E+01          1.0000000000E+00          6.0000000000E+00          3.6482092059E+04          0.0000000000E+00          1.6239160373E-01          4.4991841656E+02          4.4992277910E+02          2.1048389603E+00          2.1048283442E+00          -2.4450270076E-04         -3.1671587576E-04         9.0548303666E-03          6.3815700305E+02          3.8220364919E-01          
2021-09-10                12:14:59.674              252.63541291              6063.249910               253.63541291              1631276099.675            0                         963                       1.4000198364E+02          4.5000297546E+01          3.7062500000E+01          4.4767967224E+01          4.5000358582E+01          2.0000000000E+00          6.0000000000E+00          3.6481914062E+04          0.0000000000E+00          1.6239160373E-01          4.4991841656E+02          4.4991564356E+02          2.1048793789E+00          2.1048283442E+00          -2.4450270076E-04         -3.1671587576E-04         9.0548303666E-03          6.3815700305E+02          3.8220364919E-01          
2021-09-10                12:15:00.546              252.63542299              6063.250152               253.63542299              1631276100.546            0                         963                       1.4000198364E+02          4.5000297546E+01          3.7004850333E+01          4.4767967224E+01          4.5000358582E+01          4.0000000000E+00          6.0000000000E+00          3.6481914062E+04          0.0000000000E+00          1.6340918211E-01          4.4991841656E+02          4.4991564356E+02          2.1048793789E+00          2.1048283442E+00          -2.4450270076E-04         -3.1671587576E-04         1.0450636495E-02          6.3815700305E+02          3.8462013536E-01          
2021-09-10                12:15:01.253              252.63543118              6063.250348               253.63543118              1631276101.254            0                         963                       1.4000024414E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          3.0000000000E+00          6.0000000000E+00          3.6481492188E+04          0.0000000000E+00          1.6340918211E-01          4.4991841656E+02          4.4991546430E+02          2.1048793789E+00          2.1048680763E+00          -5.9978084993E-04         -7.7693344093E-04         1.0450636495E-02          6.3815700305E+02          3.8462013536E-01          
2021-09-10                12:15:01.490              252.63543392              6063.250414               253.63543392              1631276101.491            0                         963                       1.4000024414E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          1.0000000000E+00          6.0000000000E+00          3.6481492188E+04          0.0000000000E+00          1.6340918663E-01          4.4992360332E+02          4.4991546430E+02          2.1048793789E+00          2.1048680763E+00          -5.9978084993E-04         -7.7693344093E-04         1.0450636495E-02          6.3817243329E+02          3.8462013536E-01          
2021-09-10                12:15:01.898              252.63543865              6063.250527               253.63543865              1631276101.899            0                         963                       1.3999828717E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          2.0000000000E+00          6.0000000000E+00          3.6480830174E+04          0.0000000000E+00          1.6340918663E-01          4.4992360332E+02          4.4992065102E+02          2.1048877631E+00          2.1048680763E+00          -5.9978084993E-04         -7.7693344093E-04         1.0450636495E-02          6.3817243329E+02          3.8462013536E-01          
2021-09-10                12:15:02.798              252.63544905              6063.250777               253.63544905              1631276102.798            0                         963                       1.3999828717E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          4.0000000000E+00          6.0000000000E+00          3.6480830174E+04          0.0000000000E+00          1.6118684330E-01          4.4992360332E+02          4.4992065102E+02          2.1048877631E+00          2.1048680763E+00          -5.9978084993E-04         -7.7693344093E-04         6.4426023647E-03          6.3817243329E+02          3.7931772772E-01          
2021-09-10                12:15:03.499              252.63545716              6063.250972               253.63545716              1631276103.499            0                         963                       1.3999838257E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          3.0000000000E+00          6.0000000000E+00          3.6481187500E+04          0.0000000000E+00          1.6118684330E-01          4.4992360332E+02          4.4991736644E+02          2.1048877631E+00          2.1048638856E+00          -1.1838202280E-03         -1.5335052700E-03         6.4426023647E-03          6.3817243329E+02          3.7931772772E-01          
2021-09-10                12:15:03.733              252.63545988              6063.251037               253.63545988              1631276103.734            0                         963                       1.3999838257E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          1.0000000000E+00          6.0000000000E+00          3.6481187500E+04          0.0000000000E+00          1.6118685296E-01          4.4992934229E+02          4.4991736644E+02          2.1048877631E+00          2.1048638856E+00          -1.1838202280E-03         -1.5335052700E-03         6.4426023647E-03          6.3820626392E+02          3.7931772772E-01          
2021-09-10                12:15:04.138              252.63546456              6063.251149               253.63546456              1631276104.138            0                         963                       1.3999838257E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          2.0000000000E+00          6.0000000000E+00          3.6481187500E+04          0.0000000000E+00          1.6118685296E-01          4.4992934229E+02          4.4992310534E+02          2.1050597106E+00          2.1048638856E+00          -1.1838202280E-03         -1.5335052700E-03         6.4426023647E-03          6.3820626392E+02          3.7931772772E-01          
2021-09-10                12:15:04.996              252.63547449              6063.251388               253.63547449              1631276104.996            0                         963                       1.3999838257E+02          4.5000328064E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          4.0000000000E+00          6.0000000000E+00          3.6481187500E+04          0.0000000000E+00          1.5996963155E-01          4.4992934229E+02          4.4992310534E+02          2.1050597106E+00          2.1048638856E+00          -1.1838202280E-03         -1.5335052700E-03         1.2184018746E-02          6.3820626392E+02          3.7661831158E-01          
2021-09-10                12:15:05.707              252.63548273              6063.251586               253.63548273              1631276105.708            0                         963                       1.4000100708E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          3.0000000000E+00          6.0000000000E+00          3.6482175781E+04          0.0000000000E+00          1.5996963155E-01          4.4992934229E+02          4.4992268937E+02          2.1050597106E+00          2.1050342386E+00          -7.1873987403E-04         -9.3103208675E-04         1.2184018746E-02          6.3820626392E+02          3.7661831158E-01          
2021-09-10                12:15:05.938              252.63548541              6063.251650               253.63548541              1631276105.939            0                         963                       1.4000100708E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          1.0000000000E+00          6.0000000000E+00          3.6482175781E+04          0.0000000000E+00          1.5996962864E-01          4.4994730782E+02          4.4992268937E+02          2.1050597106E+00          2.1050342386E+00          -7.1873987403E-04         -9.3103208675E-04         1.2184018746E-02          6.3819642862E+02          3.7661831158E-01          
2021-09-10                12:15:06.355              252.63549023              6063.251766               253.63549023              1631276106.356            0                         963                       1.4000120854E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          2.0000000000E+00          6.0000000000E+00          3.6482614155E+04          0.0000000000E+00          1.5996962864E-01          4.4994730782E+02          4.4994065463E+02          2.1049266654E+00          2.1050342386E+00          -7.1873987403E-04         -9.3103208675E-04         1.2184018746E-02          6.3819642862E+02          3.7661831158E-01          
2021-09-10                12:15:07.242              252.63550049              6063.252012               253.63550049              1631276107.242            0                         963                       1.4000120854E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          4.0000000000E+00          6.0000000000E+00          3.6482614155E+04          0.0000000000E+00          1.5799402267E-01          4.4994730782E+02          4.4994065463E+02          2.1049266654E+00          2.1050342386E+00          -7.1873987403E-04         -9.3103208675E-04         1.0616292054E-02          6.3819642862E+02          3.7195609693E-01          
2021-09-10                12:15:07.948              252.63550867              6063.252208               253.63550867              1631276107.949            0                         963                       1.4000238037E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          3.0000000000E+00          6.0000000000E+00          3.6484054688E+04          0.0000000000E+00          1.5799402267E-01          4.4994730782E+02          4.4994147928E+02          2.1049266654E+00          2.1049043521E+00          -9.4799895455E-04         -1.2280159980E-03         1.0616292054E-02          6.3819642862E+02          3.7195609693E-01          
2021-09-10                12:15:08.191              252.63551148              6063.252276               253.63551148              1631276108.192            0                         963                       1.4000238037E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          1.0000000000E+00          6.0000000000E+00          3.6484054688E+04          0.0000000000E+00          1.5799401745E-01          4.4991212670E+02          4.4994147928E+02          2.1049266654E+00          2.1049043521E+00          -9.4799895455E-04         -1.2280159980E-03         1.0616292054E-02          6.3817861171E+02          3.7195609693E-01          
2021-09-10                12:15:08.602              252.63551624              6063.252390               253.63551624              1631276108.603            0                         963                       1.4000444191E+02          4.5000175476E+01          3.7062500000E+01          4.4767875671E+01          4.5000083923E+01          2.0000000000E+00          6.0000000000E+00          3.6484959408E+04          0.0000000000E+00          1.5799401745E-01          4.4991212670E+02          4.4990629863E+02          2.1050386387E+00          2.1049043521E+00          -9.4799895455E-04         -1.2280159980E-03         1.0616292054E-02          6.3817861171E+02          3.7195609693E-01          
2021-09-10                12:15:09.494              252.63552656              6063.252637               253.63552656              1631276109.495            0                         963                       1.4000444191E+02          4.5000175476E+01          3.7017461197E+01          4.4767875671E+01          4.5000083923E+01          4.0000000000E+00          6.0000000000E+00          3.6484959408E+04          0.0000000000E+00          1.6160057790E-01          4.4991212670E+02          4.4990629863E+02          2.1050386387E+00          2.1049043521E+00          -9.4799895455E-04         -1.2280159980E-03         8.8055401446E-03          6.3817861171E+02          3.8034663597E-01          
